ID,date,chamber,debate_num,crime,technologies,security,defence,geopolitics,energy,climate
ParlaMint-NL-en_2022-03-31-tweedekamer-5,2022-03-31,tweedekamer,5,0.14519087970256805,0.14199315011501312,0.14197632670402527,0.14324669539928436,0.14262957870960236,0.1424557864665985,0.14250753819942474
ParlaMint-NL-en_2022-03-31-tweedekamer-6,2022-03-31,tweedekamer,6,0.14272882044315338,0.1420639157295227,0.1434868425130844,0.14367209374904633,0.1430513858795166,0.14169786870479584,0.14329911768436432
ParlaMint-NL-en_2022-04-05-tweedekamer-30,2022-04-05,tweedekamer,30,0.14565381407737732,0.1501084417104721,0.14195477962493896,0.1384183168411255,0.14154256880283356,0.1365770399570465,0.14574508368968964
ParlaMint-NL-en_2022-04-05-tweedekamer-31,2022-04-05,tweedekamer,31,0.14533060789108276,0.14244768023490906,0.1416437327861786,0.14234140515327454,0.14121897518634796,0.14371557533740997,0.14330197870731354
ParlaMint-NL-en_2022-04-05-tweedekamer-32,2022-04-05,tweedekamer,32,0.1468876302242279,0.14270803332328796,0.14330166578292847,0.141625314950943,0.14019256830215454,0.14253853261470795,0.14274631440639496
ParlaMint-NL-en_2022-04-06-tweedekamer-10,2022-04-06,tweedekamer,10,0.14361636340618134,0.14346149563789368,0.14378724992275238,0.14028912782669067,0.14442846179008484,0.14214999973773956,0.14226731657981873
ParlaMint-NL-en_2022-04-06-tweedekamer-11,2022-04-06,tweedekamer,11,0.14598040282726288,0.14299777150154114,0.1427740752696991,0.14313644170761108,0.1394502967596054,0.14336666464805603,0.14229433238506317
ParlaMint-NL-en_2022-04-06-tweedekamer-3,2022-04-06,tweedekamer,3,0.14453789591789246,0.13922588527202606,0.14303278923034668,0.14565543830394745,0.14252671599388123,0.13981685042381287,0.14520445466041565
ParlaMint-NL-en_2022-04-06-tweedekamer-4,2022-04-06,tweedekamer,4,0.1409168541431427,0.14241798222064972,0.14595837891101837,0.13968437910079956,0.14109551906585693,0.14509551227092743,0.1448313146829605
ParlaMint-NL-en_2022-04-06-tweedekamer-5,2022-04-06,tweedekamer,5,0.14094489812850952,0.15937797725200653,0.1392335593700409,0.13803690671920776,0.13735666871070862,0.14213599264621735,0.14291399717330933
ParlaMint-NL-en_2022-04-06-tweedekamer-6,2022-04-06,tweedekamer,6,0.15051722526550293,0.14148737490177155,0.14358073472976685,0.14232437312602997,0.14163783192634583,0.14069890975952148,0.13975362479686737
ParlaMint-NL-en_2022-04-06-tweedekamer-9,2022-04-06,tweedekamer,9,0.14509224891662598,0.14747220277786255,0.13965502381324768,0.1421651393175125,0.1421058028936386,0.1409362256526947,0.14257337152957916
ParlaMint-NL-en_2022-04-07-tweedekamer-3,2022-04-07,tweedekamer,3,0.14417710900306702,0.14195109903812408,0.14129017293453217,0.14231999218463898,0.1447179764509201,0.1420069932937622,0.14353668689727783
ParlaMint-NL-en_2022-04-07-tweedekamer-9,2022-04-07,tweedekamer,9,0.14274640381336212,0.1405375897884369,0.14055119454860687,0.1442619413137436,0.14544402062892914,0.14326472580432892,0.14319412410259247
ParlaMint-NL-en_2022-04-12-tweedekamer-23,2022-04-12,tweedekamer,23,0.1430835723876953,0.14363092184066772,0.14506657421588898,0.14174599945545197,0.14260485768318176,0.14162954688072205,0.1422385722398758
ParlaMint-NL-en_2022-04-12-tweedekamer-24,2022-04-12,tweedekamer,24,0.1429917961359024,0.14232321083545685,0.13815566897392273,0.14265145361423492,0.14427010715007782,0.14480654895305634,0.14480118453502655
ParlaMint-NL-en_2022-04-13-tweedekamer-10,2022-04-13,tweedekamer,10,0.14494472742080688,0.14030110836029053,0.13835452497005463,0.14564312994480133,0.14289389550685883,0.14415359497070312,0.14370904862880707
ParlaMint-NL-en_2022-04-13-tweedekamer-11,2022-04-13,tweedekamer,11,0.1426675021648407,0.1422361135482788,0.14185582101345062,0.138559952378273,0.14646291732788086,0.14389225840568542,0.14432543516159058
ParlaMint-NL-en_2022-04-13-tweedekamer-3,2022-04-13,tweedekamer,3,0.1438092440366745,0.1438477486371994,0.14096716046333313,0.14306588470935822,0.1448584347963333,0.14333964884281158,0.14011187851428986
ParlaMint-NL-en_2022-04-13-tweedekamer-4,2022-04-13,tweedekamer,4,0.14400342106819153,0.1438305824995041,0.14619068801403046,0.1466829925775528,0.14142295718193054,0.14135172963142395,0.1365176886320114
ParlaMint-NL-en_2022-04-13-tweedekamer-5,2022-04-13,tweedekamer,5,0.1449967622756958,0.14165538549423218,0.14484035968780518,0.14550772309303284,0.14446598291397095,0.1393125206232071,0.13922126591205597
ParlaMint-NL-en_2022-04-13-tweedekamer-6,2022-04-13,tweedekamer,6,0.14551496505737305,0.1411954164505005,0.14619357883930206,0.1457943469285965,0.13776032626628876,0.1424388289451599,0.14110256731510162
ParlaMint-NL-en_2022-04-13-tweedekamer-9,2022-04-13,tweedekamer,9,0.1425626128911972,0.14327293634414673,0.14680039882659912,0.14416007697582245,0.14602956175804138,0.13726574182510376,0.13990867137908936
ParlaMint-NL-en_2022-04-14-tweedekamer-10,2022-04-14,tweedekamer,10,0.1487150490283966,0.14228038489818573,0.13947033882141113,0.14229202270507812,0.1427270770072937,0.14279142022132874,0.14172372221946716
ParlaMint-NL-en_2022-04-14-tweedekamer-11,2022-04-14,tweedekamer,11,0.14149874448776245,0.14361631870269775,0.1422930657863617,0.14116889238357544,0.1416604220867157,0.1453162580728531,0.14444632828235626
ParlaMint-NL-en_2022-04-14-tweedekamer-12,2022-04-14,tweedekamer,12,0.13799218833446503,0.1428440660238266,0.1436498761177063,0.14560681581497192,0.14176368713378906,0.14428293704986572,0.14386044442653656
ParlaMint-NL-en_2022-04-14-tweedekamer-13,2022-04-14,tweedekamer,13,0.143861785531044,0.1433212012052536,0.14270558953285217,0.14494913816452026,0.13938142359256744,0.14410769939422607,0.14167320728302002
ParlaMint-NL-en_2022-04-14-tweedekamer-14,2022-04-14,tweedekamer,14,0.14518845081329346,0.14121921360492706,0.14407387375831604,0.14249993860721588,0.14399631321430206,0.1405334323644638,0.1424887776374817
ParlaMint-NL-en_2022-04-14-tweedekamer-15,2022-04-14,tweedekamer,15,0.13458487391471863,0.14951840043067932,0.1314532607793808,0.14515121281147003,0.1463724672794342,0.14780163764953613,0.14511814713478088
ParlaMint-NL-en_2022-04-14-tweedekamer-16,2022-04-14,tweedekamer,16,0.14318397641181946,0.1424674689769745,0.1407553255558014,0.14512309432029724,0.14419952034950256,0.14248588681221008,0.1417846530675888
ParlaMint-NL-en_2022-04-14-tweedekamer-17,2022-04-14,tweedekamer,17,0.14612948894500732,0.13955183327198029,0.14251381158828735,0.1457475870847702,0.1421358734369278,0.14142397046089172,0.1424974501132965
ParlaMint-NL-en_2022-04-14-tweedekamer-18,2022-04-14,tweedekamer,18,0.14358152449131012,0.14179787039756775,0.13995474576950073,0.14401136338710785,0.1425866335630417,0.14410890638828278,0.1439589262008667
ParlaMint-NL-en_2022-04-14-tweedekamer-19,2022-04-14,tweedekamer,19,0.14527083933353424,0.14379610121250153,0.1412857174873352,0.1439235359430313,0.14092005789279938,0.1423720419406891,0.14243179559707642
ParlaMint-NL-en_2022-04-14-tweedekamer-5,2022-04-14,tweedekamer,5,0.13872066140174866,0.1455141007900238,0.1439369022846222,0.1440398246049881,0.1425856649875641,0.14575210213661194,0.1394507884979248
ParlaMint-NL-en_2022-04-14-tweedekamer-6,2022-04-14,tweedekamer,6,0.14457038044929504,0.1431380957365036,0.14387521147727966,0.14278534054756165,0.14257818460464478,0.1418684870004654,0.14118430018424988
ParlaMint-NL-en_2022-04-14-tweedekamer-9,2022-04-14,tweedekamer,9,0.14332997798919678,0.14219480752944946,0.1433354914188385,0.14348985254764557,0.14511443674564362,0.140129953622818,0.14240550994873047
ParlaMint-NL-en_2022-04-19-eerstekamer-6,2022-04-19,eerstekamer,6,0.14490924775600433,0.14269743859767914,0.14432351291179657,0.13986365497112274,0.14062583446502686,0.14449714124202728,0.14308322966098785
ParlaMint-NL-en_2022-04-19-tweedekamer-41,2022-04-19,tweedekamer,41,0.14488601684570312,0.1409779191017151,0.14343681931495667,0.1436992734670639,0.14065520465373993,0.14287307858467102,0.1434716135263443
ParlaMint-NL-en_2022-04-19-tweedekamer-42,2022-04-19,tweedekamer,42,0.1478734016418457,0.14079555869102478,0.1390807181596756,0.14662517607212067,0.13807028532028198,0.14349433779716492,0.14406049251556396
ParlaMint-NL-en_2022-04-19-tweedekamer-43,2022-04-19,tweedekamer,43,0.14162403345108032,0.14746320247650146,0.14259618520736694,0.14158736169338226,0.14009881019592285,0.14335480332374573,0.14327563345432281
ParlaMint-NL-en_2022-04-19-tweedekamer-44,2022-04-19,tweedekamer,44,0.14257827401161194,0.14559422433376312,0.14213010668754578,0.1441272795200348,0.13855499029159546,0.1433270126581192,0.14368818700313568
ParlaMint-NL-en_2022-04-19-tweedekamer-45,2022-04-19,tweedekamer,45,0.14596714079380035,0.14176331460475922,0.1422828882932663,0.14258608222007751,0.1465347707271576,0.14265227317810059,0.13821357488632202
ParlaMint-NL-en_2022-04-19-tweedekamer-46,2022-04-19,tweedekamer,46,0.14602825045585632,0.14447341859340668,0.14830155670642853,0.1432497799396515,0.13599811494350433,0.14113523066043854,0.14081376791000366
ParlaMint-NL-en_2022-04-20-tweedekamer-11,2022-04-20,tweedekamer,11,0.14697197079658508,0.14069272577762604,0.14480634033679962,0.1444394290447235,0.14779117703437805,0.1342068910598755,0.14109143614768982
ParlaMint-NL-en_2022-04-20-tweedekamer-12,2022-04-20,tweedekamer,12,0.1425328552722931,0.14193063974380493,0.14400418102741241,0.14237481355667114,0.14241944253444672,0.14375941455364227,0.14297866821289062
